Date;avg_deal_price;lowest_deal_price;num_bidder;num_plates
2014.12;73687;73600;96972;7447
2015.1;74216;74000;98203;7990
2015.2;76618;76500;103224;7653
2015.3;74830;74600;132690;7406
2015.4;80759;80600;152298;8288
2015.5;79099;79000;156007;7482
2015.6;80020;80000;172205;7441
2015.7;83171;83100;166302;7531
2015.8;82642;82600;166939;7454
2015.9;82172;82100;165765;8727
2015.10;85424;85300;170995;7763
2015.11;84703;84600;169159;7514
2015.12;84572;84500;179133;7698
2016.1;82352;82200;187533;9409
2016.2;83244;83200;196470;8363
2016.3;83148;83100;221109;8310
2016.4;85127;85100;256897;11829
2016.5;85058;85000;277889;11598
2016.6;84483;84400;275438;11546
2016.7;87235;87200;240750;11475
2016.8;86946;86900;251188;11549
2016.9;86523;86500;229544;12889
2016.10;88359;88300;213212;11621
2016.11;88665;88600;215424;11549
2016.12;88412;88300;219882;12261
2017.1;87685;87600;232101;12215
2017.2;88240;88200;251717;10157
2017.3;87916;87800;262010;10356
2017.4;89850;89800;252273;12196
2017.5;90209;90100;270197;10316
2017.6;89532;89400;244349;10312
2017.7;92250;92200;269189;10325
2017.8;91629;91600;256083;10558
2017.9;91415;91300;250566;12413
2017.10;93540;93500;244868;11388
2017.11;93130;93100;226911;11002
2017.12;92848;92800;228148;12147
2018.01;87936;87900;226316;12183
2018.02;87660;87600;220831;11098
